Time_s,F0_Hz
0.021897,0
0.026063,0
0.030230,0
0.034397,0
0.038563,0
0.042730,0
0.046897,0
0.051063,0
0.055230,0
0.059397,0
0.063563,0
0.067730,0
0.071897,0
0.076063,0
0.080230,0
0.084397,0
0.088563,0
0.092730,0
0.096897,0
0.101063,0
0.105230,0
0.109397,0
0.113563,0
0.117730,0
0.121897,0
0.126063,0
0.130230,0
0.134397,0
0.138563,0
0.142730,0
0.146897,0
0.151063,0
0.155230,0
0.159397,0
0.163563,0
0.167730,0
0.171897,0
0.176063,0
0.180230,0
0.184397,0
0.188563,0
0.192730,0
0.196897,0
0.201063,0
0.205230,0
0.209397,0
0.213563,0
0.217730,0
0.221897,0
0.226063,0
0.230230,0
0.234397,0
0.238563,0
0.242730,0
0.246897,0
0.251063,0
0.255230,0
0.259397,0
0.263563,0
0.267730,0
0.271897,0
0.276063,0
0.280230,0
0.284397,0
0.288563,0
0.292730,0
0.296897,0
0.301063,0
0.305230,0
0.309397,0
0.313563,0
0.317730,0
0.321897,0
0.326063,0
0.330230,0
0.334397,0
0.338563,0
0.342730,0
0.346897,0
0.351063,0
0.355230,0
0.359397,0
0.363563,0
0.367730,0
0.371897,0
0.376063,0
0.380230,0
0.384397,0
0.388563,0
0.392730,0
0.396897,0
0.401063,0
0.405230,0
0.409397,0
0.413563,0
0.417730,0
0.421897,0
0.426063,0
0.430230,0
0.434397,0
0.438563,0
0.442730,0
0.446897,0
0.451063,0
0.455230,0
0.459397,0
0.463563,0
0.467730,0
0.471897,0
0.476063,0
0.480230,0
0.484397,0
0.488563,0
0.492730,0
0.496897,0
0.501063,0
0.505230,0
0.509397,0
0.513563,0
0.517730,0
0.521897,0
0.526063,0
0.530230,0
0.534397,0
0.538563,0
0.542730,0
0.546897,0
0.551063,0
0.555230,0
0.559397,0
0.563563,0
0.567730,0
0.571897,0
0.576063,0
0.580230,0
0.584397,0
0.588563,0
0.592730,0
0.596897,0
0.601063,0
0.605230,0
0.609397,0
0.613563,0
0.617730,0
0.621897,0
0.626063,0
0.630230,0
0.634397,0
0.638563,0
0.642730,0
0.646897,0
0.651063,0
0.655230,0
0.659397,0
0.663563,0
0.667730,0
0.671897,0
0.676063,0
0.680230,0
0.684397,0
0.688563,0
0.692730,0
0.696897,0
0.701063,0
0.705230,0
0.709397,0
0.713563,0
0.717730,0
0.721897,0
0.726063,0
0.730230,0
0.734397,0
0.738563,0
0.742730,0
0.746897,0
0.751063,0
0.755230,0
0.759397,0
0.763563,0
0.767730,0
0.771897,0
0.776063,0
0.780230,0
0.784397,0
0.788563,0
0.792730,0
0.796897,0
0.801063,0
0.805230,0
0.809397,0
0.813563,0
0.817730,0
0.821897,0
0.826063,0
0.830230,0
0.834397,0
0.838563,0
0.842730,0
0.846897,0
0.851063,0
0.855230,0
0.859397,0
0.863563,0
0.867730,0
0.871897,0
0.876063,0
0.880230,0
0.884397,0
0.888563,0
0.892730,0
0.896897,0
0.901063,0
0.905230,0
0.909397,0
0.913563,0
0.917730,0
0.921897,0
0.926063,0
0.930230,0
0.934397,0
0.938563,0
0.942730,0
0.946897,0
0.951063,0
0.955230,0
0.959397,0
0.963563,0
0.967730,0
0.971897,0
0.976063,0
0.980230,0
0.984397,0
0.988563,0
0.992730,0
0.996897,0
1.001063,0
1.005230,0
1.009397,0
1.013563,0
1.017730,0
1.021897,0
1.026063,0
1.030230,0
1.034397,0
1.038563,0
1.042730,0
1.046897,0
1.051063,0
1.055230,0
1.059397,0
1.063563,0
1.067730,0
1.071897,0
1.076063,0
1.080230,0
1.084397,0
1.088563,0
1.092730,0
1.096897,0
1.101063,0
1.105230,0
1.109397,0
1.113563,0
1.117730,0
1.121897,0
1.126063,0
1.130230,0
1.134397,0
1.138563,0
1.142730,0
1.146897,0
1.151063,0
1.155230,0
1.159397,0
1.163563,0
1.167730,0
1.171897,0
1.176063,0
1.180230,0
1.184397,0
1.188563,0
1.192730,0
1.196897,0
1.201063,0
1.205230,0
1.209397,0
1.213563,0
1.217730,0
1.221897,0
1.226063,0
1.230230,0
1.234397,0
1.238563,0
1.242730,0
1.246897,0
1.251063,0
1.255230,0
1.259397,0
1.263563,0
1.267730,0
1.271897,0
1.276063,0
1.280230,0
1.284397,0
1.288563,0
1.292730,0
1.296897,0
1.301063,0
1.305230,0
1.309397,0
1.313563,0
1.317730,0
1.321897,0
1.326063,0
1.330230,0
1.334397,0
1.338563,0
1.342730,0
1.346897,0
1.351063,0
1.355230,0
1.359397,0
1.363563,0
1.367730,0
1.371897,0
1.376063,0
1.380230,0
1.384397,0
1.388563,0
1.392730,0
1.396897,0
1.401063,0
1.405230,0
1.409397,0
1.413563,0
1.417730,0
1.421897,0
1.426063,0
1.430230,0
1.434397,0
1.438563,0
1.442730,0
1.446897,0
1.451063,0
1.455230,0
1.459397,0
1.463563,0
1.467730,0
1.471897,0
1.476063,0
1.480230,0
1.484397,0
1.488563,0
1.492730,0
1.496897,0
1.501063,0
1.505230,0
1.509397,0
1.513563,0
1.517730,0
1.521897,0
1.526063,0
1.530230,0
1.534397,0
1.538563,0
1.542730,0
1.546897,0
1.551063,0
1.555230,0
1.559397,0
1.563563,0
1.567730,0
1.571897,0
1.576063,0
1.580230,0
1.584397,0
1.588563,0
1.592730,0
1.596897,0
1.601063,0
1.605230,0
1.609397,0
1.613563,0
1.617730,0
1.621897,0
1.626063,0
1.630230,0
1.634397,0
1.638563,0
1.642730,0
1.646897,0
1.651063,0
1.655230,0
1.659397,0
1.663563,0
1.667730,0
1.671897,0
1.676063,0
1.680230,0
1.684397,0
1.688563,0
1.692730,0
1.696897,0
1.701063,0
1.705230,0
1.709397,0
1.713563,0
1.717730,0
1.721897,0
1.726063,0
1.730230,0
1.734397,0
1.738563,0
1.742730,0
1.746897,0
1.751063,0
1.755230,0
1.759397,0
1.763563,0
1.767730,0
1.771897,0
1.776063,0
1.780230,0
1.784397,0
1.788563,0
1.792730,0
1.796897,0
1.801063,0
1.805230,0
1.809397,0
1.813563,0
1.817730,0
1.821897,0
1.826063,0
1.830230,0
1.834397,0
1.838563,0
1.842730,0
1.846897,0
1.851063,0
1.855230,0
1.859397,0
1.863563,0
1.867730,0
1.871897,0
1.876063,0
1.880230,0
1.884397,0
1.888563,0
1.892730,0
1.896897,0
1.901063,0
1.905230,0
1.909397,0
1.913563,0
1.917730,0
1.921897,0
1.926063,0
1.930230,0
1.934397,0
1.938563,0
1.942730,0
1.946897,0
1.951063,0
1.955230,0
1.959397,0
1.963563,0
1.967730,0
1.971897,0
1.976063,0
1.980230,0
1.984397,0
1.988563,0
1.992730,0
1.996897,0
2.001063,0
2.005230,0
2.009397,0
2.013563,0
2.017730,0
2.021897,0
2.026063,0
2.030230,0
2.034397,0
2.038563,0
2.042730,0
2.046897,0
2.051063,0
2.055230,0
2.059397,0
2.063563,0
2.067730,0
2.071897,0
2.076063,0
2.080230,0
2.084397,0
2.088563,0
2.092730,0
2.096897,0
2.101063,0
2.105230,0
2.109397,0
2.113563,0
2.117730,0
2.121897,0
2.126063,0
2.130230,0
2.134397,0
2.138563,0
2.142730,0
2.146897,0
2.151063,0
2.155230,0
2.159397,0
2.163563,0
2.167730,0
2.171897,0
2.176063,0
2.180230,0
2.184397,0
2.188563,0
2.192730,0
2.196897,0
2.201063,0
2.205230,0
2.209397,0
2.213563,0
2.217730,0
2.221897,0
2.226063,0
2.230230,0
2.234397,0
2.238563,0
2.242730,0
2.246897,0
2.251063,0
2.255230,0
2.259397,0
2.263563,0
2.267730,0
2.271897,0
2.276063,0
2.280230,0
2.284397,0
2.288563,0
2.292730,0
2.296897,0
2.301063,0
2.305230,0
2.309397,0
2.313563,0
2.317730,0
2.321897,0
2.326063,0
2.330230,0
2.334397,0
2.338563,0
