Begin Time - msec,End Time - msec,R.G.Sequence
1500,4680,SEQ
6910,20320,SEQ
20600,22650,SEQ
32130,38970,SEQ
40980,65140,SEQ
71230,73710,SEQ
77410,79950,SEQ
80650,82910,SEQ
85690,87570,SEQ
94940,103850,SEQ
106552,110592,SEQ
111532,112562,SEQ
114282,115892,SEQ
119452,120950,SEQ
125782,132280,SEQ
139830,145090,SEQ
145190,157780,SEQ
158610,164950,SEQ
165070,168650,SEQ
174490,177120,SEQ
178290,179760,SEQ
182340,185681,SEQ
187210,197520,SEQ
197970,201150,SEQ
202470,218510,SEQ
221700,223230,SEQ
227130,231570,SEQ
233110,249080,SEQ
249840,273530,SEQ
275890,278769,SEQ
280690,285820,SEQ
288170,289670,SEQ
293630,299420,SEQ
299950,308810,SEQ
312820,317900,SEQ
318790,330720,SEQ
331410,336830,SEQ
339780,348790,SEQ
350620,360380,SEQ
362970,363590,SEQ
376700,379030,SEQ
379440,380590,SEQ
388200,389350,SEQ
399030,404350,SEQ
405830,410650,SEQ
412036,418170,SEQ
420746,439120,SEQ
442415,448400,SEQ
448540,455065,SEQ
455090,459210,SEQ
461120,461940,SEQ
462810,465560,SEQ
466330,477260,SEQ
483930,488710,SEQ
492780,499390,SEQ
503870,509840,SEQ
543690,555520,SEQ
562060,566230,SEQ
566710,568410,SEQ
573360,585430,SEQ
586550,587510,SEQ
593070,616000,SEQ
624400,658150,SEQ
660310,668040,SEQ
673860,678370,SEQ
681070,686420,SEQ
686710,689990,SEQ
691660,692640,SEQ
702600,708910,SEQ
710670,715390,SEQ
725500,748270,SEQ
748453,758461,SEQ
760381,763981,SEQ
764491,779340,SEQ
782931,824510,SEQ
830281,833970,SEQ
839031,841611,SEQ
846301,856760,SEQ
860391,868141,SEQ
869221,880080,SEQ
881252,924360,SEQ
926930,930090,SEQ
931420,933220,SEQ
934200,936260,SEQ
946870,951220,SEQ
953260,962000,SEQ
971162,973502,SEQ
984750,986390,SEQ
986952,990822,SEQ
994482,995952,SEQ
998502,999152,SEQ
1008282,1011160,SEQ
1013312,1016482,SEQ
1017382,1023810,SEQ
1027002,1030052,SEQ
1031652,1034032,SEQ
1035570,1036860,SEQ
1041963,1088110,SEQ
1090073,1092723,SEQ
1094563,1100590,SEQ
1101500,1107750,SEQ
1112250,1114680,SEQ
1118700,1121803,SEQ
1123693,1125343,SEQ
