Begin Time - msec,End Time - msec,R.G.Right.Phrase
26640,27070,move
33310,34060,move
36880,41480,move
42090,43910,deictic-beat
43920,45860,iconic
63660,64560,iconic
65380,66460,deictic
67660,68260,deictic
68470,71280,iconic-beat
71280,72410,deictic
78830,81530,iconic-beat
82640,84070,iconic
92140,93610,deictic
102300,102870,beat
107980,110470,iconic
134030,134860,iconic
134860,136540,iconic
136550,141790,deictic
144270,145240,iconic
152410,156810,deictic
156810,163790,deictic
165280,170420,move
170420,171590,iconic
171590,172680,iconic
177640,178320,deictic
178320,179900,beat
185010,187330,iconic
187340,188600,deictic
188600,193210,iconic
208293,209863,deictic
237680,239383,iconic
246763,250283,iconic-beat
250283,251910,move
262987,263527,beat
273997,275267,move
276627,278037,iconic
278037,278927,iconic
278927,280550,iconic
290297,292207,beat
292217,294007,iconic-beat
294017,296327,deictic
296327,297537,iconic
304100,305860,move
306247,308047,deictic
308050,309447,iconic-deictic
312377,313907,deictic
313907,315067,deictic
315067,315667,deictic
323607,324687,deictic
332547,333227,deictic
346550,347467,deictic
347467,348187,deictic
350990,352537,iconic
352537,353857,iconic
353857,355440,deictic
366457,367367,deictic
