"","begintimes","endtimes","gesture_type","hand","gesture_duration","gesturesid","ppn","sfeat_envaccpeaksd","sfeat_envaccpeaks","sfeat_maxenvacc","sfeat_maxenvvel","sfeat_maxenv","sfeat_meanf","sfeat_maxf0","kfeat_wristindexdistanceright","kfeat_wristindexdistanceleft","kfeat_thumbindexdistanceright","kfeat_thumbindexdistanceleft","kfeat_wristwidthleftright","kfeat_wristheightright","kfeat_wristheightleft","kfeat_timetospeedright","kfeat_timetospeedleft","kfeat_avjerkright","kfeat_avjerkleft","kfeat_peakswristright","kfeat_peakswristleft","kfeat_maxspeedelbowright","kfeat_maxspeedelbowleft","kfeat_maxaccwristright","kfeat_maxaccwristleft","kfeat_maxspeedwristright","kfeat_maxspeedwristleft"
"1",7940,9210,"move","left",1270,"event_code1","V07",2.417,0.0102362204724409,0.341077513,0.018373612,0.000439848,158.087294831776,203.205569,0.0842352852977211,0.0531745786285617,0.0543496276940208,0.0689375177612493,0.262306487478616,-0.29381484600924,-0.299496108801274,0.220472440944882,0.251968503937008,19.3367540594569,20.1055731261246,7,8,49.3773162720607,65.2710966660048,38.7087721347672,34.7317972163347,92.2346968224756,85.2805042773771
"2",9570,11260,"move","left",1690,"event_code2","V07",5.143,0.00473372781065089,127.292532,5.54151828,0.851549414,157.124358984456,250.551183,0.0485879510757228,0.0461444731443907,0.0598300459497828,0.0853646551006,0.259646522781181,-0.264945237426658,-0.329718763411824,0.378698224852071,0.63905325443787,14.1505213753087,12.0133403242572,10,11,53.7195157009523,31.6810276738672,28.3645508350597,24.1699021204552,85.4236316363181,49.167441736066
"3",12680,13080,"discourse","left",400,"event_code3","V07",4,0.005,55.85913494,3.661637783,0.358958973,162.983904487805,237.082322,0.105561022563711,0.0846911665222727,0.0698765959260109,0.0991247133684853,0.262767761252176,-0.322233146077126,-0.344102311975039,0.8,0.7,8.76588462428892,9.34051022600497,2,1,25.6560451286308,31.0245174967842,12.0979438024838,12.2844697599375,46.7661891352735,35.6868366871964
"4",18210,19820,"iconic","left",1610,"event_code4","V07",4.857,0.00496894409937888,98.29967808,3.96274708,0.584537188,165.059778698113,197.953253,0.102986447065085,0.0394412625338141,0.0592213147386439,0.085510338084375,0.256381259430131,-0.195835150270207,-0.186289738597419,0.124223602484472,0.472049689440994,19.0167582132827,22.9602180902396,11,10,51.2766306984986,63.9827111102671,32.6917737151872,43.5198888110844,74.1621597669667,94.8624034915483
"5",19820,22440,"iconic","left",2620,"event_code5","V07",4.214,0.00572519083969466,93.15970348,4.36793374,0.761469242,161.298071997222,214.429068,0.12990827799914,0.0947748250329913,0.034871465449986,0.0777885211761347,0.167547625165225,-0.16179452157776,-0.167821393059381,0.687022900763359,0.83969465648855,23.5564895567038,30.3007073744508,18,18,78.4309956251876,98.2752113660422,48.7460462283557,64.5797364839111,116.610746545817,144.713040539086
"6",22440,24150,"iconic","left",1710,"event_code6","V07",4.25,0.00526315789473684,106.189164,3.214841113,0.544298745,179.78464171066,250.449147,0.111795933418722,0.181552463164571,0.0382448550352737,0.0147755083270563,0.199865594434881,-0.170475355330438,-0.1757707658688,0.748538011695906,0.187134502923977,30.6477011248318,34.4418420388733,13,10,77.5837339279983,84.2893801016721,49.7330768220153,83.7862703224481,116.088706329994,149.507995618012
"7",31790,32540,"beat","left",750,"event_code7","V07",3,0.00666666666666667,61.03352569,2.623654512,0.721740584,152.081250821429,192.673765,0.0661739537261162,0.0469515071333164,0.0394476654528741,0.0763046952273223,0.197936999212846,-0.0839013223336292,-0.265770871559086,0.426666666666667,0.906666666666667,22.3969327253952,29.4001331853422,4,4,65.3917154995461,76.9479102382208,65.4338661856389,58.0250963287847,104.188383304925,114.465182408239
"8",35400,37530,"iconic","left",2130,"event_code8","V07",5,0.00516431924882629,89.14799752,3.487102625,0.650361187,131.221867881579,157.187954,0.0491349692924773,0.156267775310478,0.063112249554204,0.0532332253705166,0.161353628382891,-0.107108915863839,-0.154715010065719,0.882629107981221,0.901408450704225,26.4032897213905,27.3573432952981,15,15,105.432021122409,153.978170807355,58.4108025711246,77.9370824448992,131.016769959212,219.936965513214
"9",42030,45020,"iconic","left",2990,"event_code9","V07",4.714,0.00501672240802676,90.05929183,4.39066509,0.701207437,155.656917342742,195.532727,0.162896848622083,0.042769028771742,0.0645659151125799,0.10067615287773,0.107851929699498,-0.106561083293222,-0.101280444013842,0.709030100334448,0.147157190635452,19.4814754456417,16.961903045467,20,18,79.6204929038429,77.2419575821236,54.7788028053367,43.0430164692746,103.55070889804,113.88376053612
"10",45020,45610,"iconic","left",590,"event_code10","V07",5,0.00508474576271186,105.1269315,3.920081751,0.661000049,152.451398894737,169.859167,0.178532748975333,0.100146765909548,0.0828122666776072,0.0136825678378885,0.0809023846448379,-0.135058144520877,-0.113334256002292,0.0677966101694915,0.338983050847458,15.7465238559085,12.9652162389147,4,4,58.3173283783524,41.6495065822646,19.3715024071576,14.9389760087528,69.6403695267533,55.2241216594684
